Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Tommy Doyle,COL,0,1,0,15,0,23.2,6.845071158,4.943662503,1.901408655,0.268656716,0.62068966,0.430555555,0.227272727,94.09439004,6.845071158,5.89,6.128280105,4.918719633,-0.323814481,Tommy Doyle,21281,656382
Clayton Andrews,MIL,0,1,0,4,0,3.1,10.80000412,5.40000206,8.10000309,0.538461538,0.12820513,0.4375,0.6,94.83891158,27.0000103,12.79,14.35504459,5.135068708,-0.324846834,Clayton Andrews,23631,677076
José Marte,LAA,0,0,0,10,0,9.1,6.75000092,6.75000092,2.892857537,0.35483871,0.6547619,0.382352941,0.2,95.15433304,8.678572611,6,8.18361246,6.662213285,-0.326932102,Jose Marte,21761,665896
Luis L. Ortiz,PIT,5,5,0,18,15,86.2,6.126923122,4.984615421,1.35000001,0.309352518,0.75688073,0.479310344,0.141304347,96.11465111,4.776923112,6.86,5.574271146,5.379367622,-0.334184133,Luis L. Ortiz,27646,682847
Daniel Norris,CLE,0,0,0,7,0,12.2,7.815790454,8.526316859,2.131579215,0.194444444,0.63829787,0.394736842,0.157894736,88.7165297,5.68421124,7.68,7.676093546,7.077173733,-0.346130192,Daniel Norris,13475,596057
Freddy Tarnok,OAK,1,1,0,5,1,14.2,8.590910022,6.750000732,2.454545721,0.194444444,0.85365854,0.25,0.173913043,95.17337284,4.909091441,7.3,7.141404417,6.188705928,-0.349912871,Freddy Tarnok,23324,676206
Parker Mushinski,HOU,0,0,0,14,0,14.2,9.204546452,2.454545721,3.068182151,0.341463415,0.9,0.5,0.357142857,93.08559808,5.522727871,5.34,7.277768068,4.424148979,-0.352433294,Parker Mushinski,21324,656786
Devin Sweet,- - -,1,0,0,7,0,8.2,6.230769688,6.230769688,4.153846459,0.24,0.64516129,0.428571428,0.285714285,92.97808323,10.38461615,8.96,10.63965629,7.310455029,-0.358644836,Devin Sweet,25348,682967
Adam Wainwright,STL,5,11,0,21,21,101,4.900990469,3.653465623,1.782178352,0.356948229,0.63030303,0.401041666,0.138888888,85.94800372,7.396040163,7.35,5.987713833,5.770710377,-0.360153168,Adam Wainwright,2233,425794
Ronel Blanco,HOU,2,1,0,17,7,52,9,4.846153846,2.076923077,0.28030303,0.80385852,0.347222222,0.179104477,94.50776689,4.5,5.13,5.98580959,5.116089735,-0.370749153,Ronel Blanco,19407,669854
Andrew Suárez,STL,0,0,0,13,0,27.2,5.53012099,4.879518521,2.277108643,0.285714286,0.54973822,0.418367346,0.166666666,92.60571488,7.156627164,5.85,6.941787686,6.16253847,-0.371316642,Andrew Suarez,18300,605498
Jordan Balazovic,MIN,1,0,0,18,0,24.1,6.287672054,4.438356744,1.84931531,0.283783784,0.80645161,0.443037974,0.172413793,95.05331191,4.438356744,5.41,6.008465377,5.307665321,-0.374103844,Jordan Balazovic,21866,666364
Hayden Wesneski,CHC,3,5,0,34,11,89.1,8.361940775,3.223880781,2.014925488,0.257261411,0.75280899,0.40234375,0.208333333,94.54265803,4.634328622,5.23,5.482652427,4.348940814,-0.374126075,Hayden Wesneski,27581,669713
Albert Abreu,NYY,2,2,0,45,0,59,9.305085949,5.338983741,1.372881533,0.27388535,0.67164179,0.46060606,0.147540983,97.26967076,4.728814171,4.61,5.255040618,4.981387311,-0.374596596,Albert Abreu,17485,656061
Stephen Nogosek,NYM,0,1,0,13,0,25.2,8.766235286,4.90909176,2.103896469,0.309859155,0.78651685,0.376623376,0.1875,94.61095671,5.610390583,5.66,6.216079834,5.238440293,-0.382539302,Stephen Nogosek,19545,668665
Rico Garcia,- - -,0,0,0,10,0,11.2,7.714287396,4.628572438,3.857143698,0.358974359,0.72222222,0.272727272,0.25,95.30720974,9.257144875,8.79,8.655041537,5.917929661,-0.382776096,Rico Garcia,20023,670329
Cory Abbott,WSN,1,2,0,22,0,39.1,9.152543556,4.347458189,2.0593223,0.351351351,0.71917808,0.391666666,0.204545454,92.33929519,6.635594078,5.2,5.949955962,4.824891677,-0.397719413,Cory Abbott,20277,676265
Madison Bumgarner,ARI,0,3,0,4,4,16.2,5.400000206,8.100000309,2.160000082,0.35,0.59322034,0.375,0.153846153,89.59771518,10.26000039,8.96,8.055040543,7.514269258,-0.403762847,Madison Bumgarner,5524,518516
Garrett Acton,OAK,0,0,0,6,0,5.2,7.941178698,7.941178698,4.764707219,0.333333333,0.64814815,0.333333333,0.25,95.75541131,12.70588592,9.99,11.54916033,8.168021922,-0.403947383,Garrett Acton,27583,670183
Michael Soroka,ATL,2,2,0,7,6,32.1,8.072165266,3.340206317,2.505154738,0.296703297,0.73604061,0.448979591,0.264705882,93.093455,6.402062107,5.7,6.56431884,4.684338136,-0.414155051,Michael Soroka,18383,647336
Brent Honeywell,- - -,2,4,0,40,0,52.1,7.738854537,3.955414541,1.719745453,0.284768212,0.7761194,0.4875,0.192307692,94.9565842,4.815287268,5.74,5.624467428,4.783211733,-0.415949211,Brent Honeywell,16466,641703
Casey Lawrence,STL,1,0,0,15,0,27.1,6.585367539,3.292683769,2.304878639,0.301204819,0.70175439,0.325842696,0.14893617,89.96695485,6.585367539,4.42,6.437968003,5.95165809,-0.416556954,Casey Lawrence,11121,596271
Wandy Peralta,NYY,4,2,4,63,0,54,8.500002402,5.000001413,1.166666996,0.218045113,0.85209003,0.573529411,0.189189189,95.8289024,2.833334134,4.7,5.051337163,4.49900395,-0.419756144,Wandy Peralta,14295,593974
Jeurys Familia,OAK,0,1,2,14,0,12.2,6.394738126,9.23684396,1.421052917,0.282051282,0.61983471,0.525,0.153846153,94.83816627,6.394738126,6,7.202409573,6.846638933,-0.423173755,Jeurys Familia,5114,544727
Tim Hill,SDP,1,4,0,48,0,44.1,5.278196548,2.842105834,1.421052917,0.348993289,0.62138728,0.611842105,0.2,90.86199302,5.481204108,5.03,5.488123515,4.740769486,-0.424253106,Tim Hill,16814,657612
Jorge Alcala,MIN,0,1,0,11,0,17.1,8.307692917,5.192308073,2.596154037,0.209302326,0.66666667,0.354166666,0.217391304,95.92118877,6.230769688,5.74,7.062732947,5.506603429,-0.42947191,Jorge Alcala,19459,660896
Kyle Barraclough,BOS,1,1,0,3,0,7.2,4.695652563,7.043478845,3.521739422,0.379310345,0.65656566,0.375,0.214285714,91.35039063,12.91304455,11.48,11.21156276,9.143770138,-0.43814671,Kyle Barraclough,13713,607457
Dylan Coleman,KCR,0,2,0,23,1,18.1,10.30909377,9.327275315,1.472727681,0.3125,0.60846561,0.352941176,0.157894736,95.29682651,8.836366088,5.55,7.018677767,6.604878561,-0.438930973,Dylan Coleman,22276,669395
