playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,MLBAMID
6984,Luis García,RP,R,R,BOS,38,9.0,0.3,0.3,1.0,"$3,000,000","$3,000,000",,,,,,Luis García,- - -,5,1,4,60,0,59.0,8.084746938846434,2.2881359260886134,1.2203391605805938,0.3028571428571429,0.63421829,0.50273224,0.153846153,96.44981206849565,4.881356642322375,3.56,4.047835838709113,3.617741490099073,0.2955342233181,Luis Garcia,472610
11752,Luke Jackson,RP,R,R,ATL,33,8.0,-0.1,0.2,,$0,,,,,,,Luke Jackson,- - -,4,3,0,52,0,53.0,10.018869366752964,4.415094975179273,1.1886794163944197,0.3191489361702128,0.66951567,0.506849315,0.155555555,94.95040002147766,5.094340355976084,4.08,4.24195163121808,3.808751159046885,-0.1154313459992408,Luke Jackson,592426
12863,Matt Barnes,RP,R,R,WSN,35,8.2,0.1,0.0,,$0,,,,,,,Matt Barnes,WSN,0,0,0,14,0,13.1,6.750000643730225,2.70000025749209,0.6750000643730225,0.3333333333333333,0.48387097,0.422222222,0.055555555,91.7982190860215,6.750000643730225,5.9,3.541479814052586,4.607691264133953,0.132618173956871,Matt Barnes,598264
13528,Matt Bowman,RP,R,R,BAL,34,4.1,-0.2,-0.1,,$0,,,BAL,1.0,$0,,Matt Bowman,- - -,1,0,0,25,1,30.2,7.043479515778543,3.815218071046711,1.4673915657871963,0.2386363636363636,0.76470588,0.440860215,0.142857142,93.8125991821289,4.402174697361589,4.81,5.188219268929933,4.794315749329,-0.2472821082919836,Matt Bowman,621199
1890,Matt Moore,RP,L,L,LAA,36,12.0,-0.7,0.0,,$0,,,,,,,Matt Moore,LAA,5,3,1,51,0,48.1,7.63448416457049,4.84138020192275,2.0482762392750096,0.2153846153846154,0.69767442,0.294117647,0.152777777,92.9817616637324,5.027587132765933,4.25,6.166480330763294,5.460230654108274,-0.7404576539993286,Matt Moore,519043
15684,Miguel Castro,RP,R,R,ARI,30,8.0,-0.2,0.0,,$0,,,HOU,1.0,$0,,Miguel Castro,ARI,0,0,0,11,0,13.2,5.268293663265631,1.9756101237246115,1.9756101237246115,0.3469387755102041,0.75757576,0.470588235,0.1875,,5.926830371173835,6.41,5.727455864599477,4.643953309286822,-0.1690646857023239,Miguel Castro,612434
13892,Paul Sewald,RP,R,R,ARI,35,6.1,0.3,0.2,1.0,"$6,500,000","$6,500,000",,CLE,1.0,"$7,000,000","$7,000,000",Paul Sewald,ARI,1,2,16,42,0,39.2,9.756303146509966,2.2689077084906897,1.3613446250944137,0.2815533980582524,0.73232323,0.266055045,0.098360655,91.39078083444149,4.31092464613231,3.78,3.947992433436588,4.306795299621884,0.3498042821884155,Paul Sewald,623149
18064,Phil Maton,RP,R,R,NYM,32,7.0,0.1,0.1,,$0,,,,,,,Phil Maton,- - -,3,3,3,71,0,64.0,8.43750150874284,3.3750006034971363,0.984375176019998,0.2424242424242424,0.75498575,0.467836257,0.114754098,,3.656250653788564,4.31,4.26022997386757,4.279487989491389,0.1050105690956115,Phil Maton,664208
16350,Ryan Borucki,RP,L,L,PIT,31,6.0,0.0,0.2,,$0,,,,,,,Ryan Borucki,PIT,0,0,0,14,0,11.0,10.63636548065974,3.2727278402029976,1.6363639201014988,0.3870967741935484,0.55555556,0.5,0.25,,7.363637640456744,7.32,4.530116378374378,3.266122272819605,-0.0445433147251606,Ryan Borucki,621366
16502,Ryan Yarbrough,RP,R,L,TOR,33,6.1,-0.1,0.0,,$0,,,,,,,Ryan Yarbrough,- - -,5,2,1,44,0,98.2,5.929054550723187,2.918919163432953,1.0033784624300777,0.2122302158273381,0.79107505,0.407801418,0.101851851,86.80164761673151,3.192567835004793,4.2,4.636074495990414,4.841786417330351,-0.0536867976188659,Ryan Yarbrough,642232
