Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,playerid,MLBAMID
Manny Machado,SDP,138,601,30,75,91,3,0.083194675,0.181364392,0.20441989,0.268292682,0.257826887,0.319467554,0.462246777,0.33389812,0.332,113.074238,-2.404145153,7.330257733,6.345315456,3.39992509,Manny Machado,11493,592518
Rafael Devers,BOS,153,656,33,90,100,5,0.094512195,0.19207317,0.229310345,0.29245283,0.270689655,0.350609756,0.5,0.359170838,0.38,123.9441988,-3.18629386,15.63444755,-4.17873311,3.389395113,Rafael Devers,17350,646240
Paul Goldschmidt,STL,154,687,25,89,80,11,0.126637554,0.234352256,0.178752108,0.326829268,0.268128161,0.36297376,0.446880269,0.350156502,0.367,121.7526474,0.152989946,18.66643818,-8.137465477,3.377528117,Paul Goldschmidt,9218,502671
Luis Arraez,MIA,147,617,10,71,69,3,0.056726094,0.055105348,0.114982578,0.362101313,0.353658536,0.392857142,0.468641114,0.368923808,0.354,130.2219947,-1.362990777,21.73779472,-9.377403378,3.322987589,Luis Arraez,18568,650333
Willy Adames,MIL,149,638,24,73,80,5,0.111285266,0.258620689,0.189873418,0.259459459,0.216998191,0.309748427,0.406871609,0.311400372,0.335,93.92127602,-1.01857749,-5.823114684,17.41670847,3.317673958,Willy Adames,15986,642715
Chas McCormick,HOU,115,457,22,59,70,19,0.087527352,0.256017505,0.215880893,0.330827067,0.272952853,0.353070175,0.488833746,0.362037235,0.341,133.2324821,0.033608373,18.23110126,-0.796296239,3.303961251,Chas McCormick,19599,676801
Jeimer Candelario,- - -,140,576,22,77,70,8,0.092013888,0.220486111,0.21980198,0.291666666,0.251485148,0.335652173,0.471287128,0.345868021,0.318,118.381445,-0.151023246,12.96555611,-0.046938419,3.239741586,Jeimer Candelario,13621,600869
Steven Kwan,CLE,158,718,5,93,54,21,0.097493036,0.104456824,0.101880878,0.294326241,0.268025078,0.340306834,0.369905956,0.313048058,0.317,98.97676214,4.287929964,3.407624042,4.406701565,3.238659478,Steven Kwan,24610,680757
Seiya Suzuki,CHC,138,583,20,75,74,6,0.101200686,0.222984562,0.2,0.341397849,0.285436893,0.3567753,0.485436893,0.358452736,0.357,128.3978804,-1.96199712,18.5483466,-6.314489216,3.195175501,Seiya Suzuki,30116,673548
Lane Thomas,WSN,157,682,28,101,86,20,0.052785923,0.258064516,0.200636943,0.324825986,0.267515923,0.315249266,0.468152866,0.333975742,0.319,109.7953094,1.661155703,9.937165387,-1.283780575,3.173558819,Lane Thomas,16939,657041
Ke'Bryan Hayes,PIT,124,525,15,65,61,10,0.053333333,0.198095238,0.182186235,0.314814814,0.27125506,0.308571428,0.453441295,0.32418884,0.321,100.267821,-0.14406723,0.030122433,13.89956892,3.167771668,Ke'Bryan Hayes,18577,663647
Marcell Ozuna,ATL,144,592,40,84,100,0,0.096283783,0.226351351,0.284905661,0.293296089,0.273584905,0.346283783,0.558490566,0.380948586,0.393,139.7200595,-2.085485824,27.04515611,-15.49465472,3.157525594,Marcell Ozuna,10324,542303
Matt McLain,CIN,89,403,16,65,50,14,0.076923076,0.285359801,0.216438357,0.384615384,0.290410958,0.357320099,0.506849315,0.370229144,0.332,127.2237293,0.414863773,14.0064806,3.666032195,3.127651724,Matt McLain,29695,680574
Randy Arozarena,TBR,151,654,23,95,83,22,0.122324159,0.23853211,0.170598911,0.310344827,0.254083484,0.363914373,0.424682395,0.346581404,0.351,125.0112987,0.50563705,20.1052082,-12.02795839,3.045652267,Randy Arozarena,19290,668227
Lars Nootbaar,STL,117,503,14,74,46,11,0.143141153,0.196819085,0.157276995,0.306962025,0.26056338,0.366533864,0.417840375,0.344194202,0.356,117.7556162,1.845511548,12.90976692,0.41601944,3.033014194,Lars Nootbaar,21454,663457
Matt Chapman,TOR,140,581,17,66,54,4,0.106712564,0.283993115,0.184675835,0.319148936,0.239685658,0.330464716,0.424361493,0.328369889,0.337,109.7007936,-0.765337206,5.987961756,4.084391356,2.994545065,Matt Chapman,16505,656305
Francisco Alvarez,NYM,123,423,25,51,63,2,0.08037825,0.260047281,0.227748691,0.221774193,0.209424083,0.283687943,0.437172774,0.309676922,0.305,96.67268301,-2.783390936,-4.527015596,20.17220795,2.993253829,Francisco Alvarez,26121,682626
Mike Trout,LAA,82,362,18,54,44,2,0.124309392,0.287292817,0.227272728,0.335106382,0.262987012,0.367403314,0.49025974,0.367841302,0.389,133.9560108,0.387230528,15.11570653,1.302774847,2.87720336,Mike Trout,10155,545361
Brandon Lowe,TBR,109,436,21,58,68,7,0.114678899,0.272935779,0.212201592,0.275,0.23076923,0.327981651,0.442970822,0.333920429,0.341,116.235699,1.247116045,9.728955691,4.033183336,2.865798854,Brandon Lowe,18882,664040
Pete Alonso,NYM,154,658,46,92,118,4,0.098784194,0.229483282,0.286971831,0.205333333,0.216549295,0.317629179,0.503521126,0.345715482,0.368,120.8323632,-0.649921608,16.33184589,-10.16721654,2.844072621,Pete Alonso,19251,624413
Max Kepler,MIN,130,491,24,72,66,1,0.091649694,0.215885947,0.223744292,0.288461538,0.260273972,0.33197556,0.484018264,0.348402961,0.362,122.9176721,-2.969534841,10.51340422,0.822546005,2.812262156,Max Kepler,12144,596146
Kevin Kiermaier,TOR,129,408,8,58,36,14,0.071078431,0.210784313,0.154054054,0.321428571,0.264864864,0.321867321,0.418918918,0.320024479,0.3,103.9164071,3.10314934,5.017760435,9.109553814,2.806302122,Kevin Kiermaier,11038,595281
Jeremy Peña,HOU,150,634,10,81,52,13,0.067823343,0.203470031,0.117850953,0.323462414,0.263431542,0.323809523,0.381282495,0.309604615,0.31,96.89028404,0.691811624,-1.670529217,7.882150292,2.791108508,Jeremy Pena,21636,665161
Edouard Julien,MIN,109,408,16,60,37,3,0.156862745,0.31372549,0.195266272,0.370558375,0.263313609,0.38083538,0.458579881,0.365961738,0.345,135.0880453,-1.176312274,15.97715495,-2.332912341,2.758131424,Edouard Julien,27534,666397
Willson Contreras,STL,125,495,20,55,67,6,0.103030303,0.224242424,0.203271028,0.311036789,0.264018691,0.358299595,0.467289719,0.357975733,0.373,126.9945367,-1.547097179,15.00677262,-4.249789953,2.749754933,Willson Contreras,11609,575929
Josh Jung,TEX,122,515,23,75,70,1,0.058252427,0.293203883,0.20083682,0.339869281,0.265690376,0.314563106,0.466527196,0.334178789,0.337,112.4035662,-3.432691777,4.221271537,5.322034001,2.715713615,Josh Jung,26299,673962
Nolan Arenado,STL,144,612,26,71,93,3,0.066993464,0.165032679,0.192857143,0.278911564,0.266071428,0.315359477,0.458928571,0.327271032,0.32,106.4105911,-2.091215962,2.769138634,3.628704667,2.711476835,Nolan Arenado,9777,571448
Zack Gelof,OAK,69,300,14,40,32,14,0.086666666,0.273333333,0.237037037,0.331428571,0.266666666,0.336666666,0.503703703,0.35695949,0.333,132.1250668,2.240750103,13.78851338,3.053594947,2.707071819,Zack Gelof,29766,680869
Brandon Drury,LAA,125,523,26,61,83,0,0.047801147,0.26003824,0.235051546,0.307926829,0.26185567,0.305927342,0.496907216,0.339089953,0.318,114.0278206,-2.819884173,5.970836288,3.099353552,2.695938869,Brandon Drury,11615,592273
Patrick Bailey,SFG,97,353,7,29,48,1,0.059490084,0.283286118,0.125766871,0.313636363,0.233128834,0.284900284,0.358895705,0.281777923,0.313,76.41463225,-0.326790757,-10.6409971,25.44353998,2.672061909,Patrick Bailey,27478,672275
Josh Naylor,CLE,121,495,17,52,97,10,0.066666666,0.137373737,0.18141593,0.326203208,0.307522123,0.353535353,0.488938053,0.353532414,0.346,127.0373567,-1.774083779,14.26213628,-4.608954906,2.658162236,Josh Naylor,18839,647304
Nathaniel Lowe,TEX,161,724,17,89,82,1,0.128453038,0.227900552,0.152487961,0.328828828,0.261637239,0.360497237,0.4141252,0.340253045,0.339,116.6137661,-4.851731536,9.560765682,-7.830882072,2.652486499,Nathaniel Lowe,19566,663993
Max Muncy,LAD,135,579,36,95,105,1,0.146804835,0.264248704,0.263485477,0.220735785,0.211618257,0.333333333,0.475103734,0.344254242,0.364,118.0276919,-1.089795197,11.84135475,-5.072253108,2.636691423,Max Muncy,13301,571970
